|	n_name	|	o_year	|	amount	|
|	FRANCE	|	1993	|	2018874.5928999993	|
|	FRANCE	|	1992	|	1633908.9908	|
|	GERMANY	|	1998	|	972727.0536999998	|
|	GERMANY	|	1997	|	1453485.8872	|
|	GERMANY	|	1996	|	1688952.6921000003	|
|	GERMANY	|	1995	|	2009598.0609999998	|
|	GERMANY	|	1994	|	1897447.8116	|
|	GERMANY	|	1993	|	2076429.2870000005	|
|	GERMANY	|	1992	|	1439053.3138000006	|
|	INDIA	|	1998	|	1108128.6121	|
|	INDIA	|	1997	|	1710352.4335999999	|
|	INDIA	|	1996	|	1761978.3958000003	|
|	INDIA	|	1995	|	2083311.8362999994	|
|	INDIA	|	1994	|	1673974.028299999	|
|	INDIA	|	1993	|	1751488.1051999996	|
|	INDIA	|	1992	|	1566036.6579000002	|
|	INDONESIA	|	1998	|	1086063.6238999995	|
|	INDONESIA	|	1997	|	2312801.4507	|
|	INDONESIA	|	1996	|	2542878.7681000005	|
|	INDONESIA	|	1995	|	1488505.4330000002	|
|	INDONESIA	|	1994	|	2350432.9978	|
|	INDONESIA	|	1993	|	1668567.7597	|
|	INDONESIA	|	1992	|	2235826.3787	|
|	IRAN	|	1998	|	1205646.4546	|
|	IRAN	|	1997	|	2054482.4337000002	|
|	IRAN	|	1996	|	1793504.6571000007	|
|	IRAN	|	1995	|	1835501.1564	|
|	IRAN	|	1994	|	1402331.4326	|
|	IRAN	|	1993	|	1967677.8465999998	|
|	IRAN	|	1992	|	1851328.3163999997	|
|	IRAQ	|	1998	|	1264955.7004	|
|	IRAQ	|	1997	|	2414529.1941	|
|	IRAQ	|	1996	|	2448962.2760000005	|
|	IRAQ	|	1995	|	1761966.5982000004	|
|	IRAQ	|	1994	|	2431492.0302	|
|	IRAQ	|	1993	|	2027166.8530999993	|
|	IRAQ	|	1992	|	1862595.1906	|
|	JAPAN	|	1998	|	998983.3208000002	|
|	JAPAN	|	1997	|	1724758.2030000002	|
|	JAPAN	|	1996	|	1742045.9487999994	|
|	JAPAN	|	1995	|	1587919.9970000004	|
|	JAPAN	|	1994	|	1869577.2845999994	|
|	JAPAN	|	1993	|	1632154.5453	|
|	JAPAN	|	1992	|	1570623.6239000005	|
|	JORDAN	|	1998	|	935529.6783000001	|
|	JORDAN	|	1997	|	2072969.5523	|
|	JORDAN	|	1996	|	1851308.9736	|
|	JORDAN	|	1995	|	1964428.6592999992	|
|	JORDAN	|	1994	|	1832782.2712000003	|
|	JORDAN	|	1993	|	1905861.2601000003	|
|	JORDAN	|	1992	|	1524927.3937	|
|	KENYA	|	1998	|	967157.2825	|
|	KENYA	|	1997	|	1531931.3256	|
|	KENYA	|	1996	|	1380064.9181999995	|
|	KENYA	|	1995	|	1810212.4584000004	|
|	KENYA	|	1994	|	1194715.7178999998	|
|	KENYA	|	1993	|	1799240.1516999998	|
|	KENYA	|	1992	|	1786471.8029000005	|
|	MOROCCO	|	1998	|	1652648.4962000004	|
|	MOROCCO	|	1997	|	1655333.8072000002	|
|	MOROCCO	|	1996	|	1896027.0308000003	|
|	MOROCCO	|	1995	|	1815929.5235	|
|	MOROCCO	|	1994	|	2003362.7770999998	|
|	MOROCCO	|	1993	|	1609772.6121999999	|
|	MOROCCO	|	1992	|	1664892.4849000005	|
|	MOZAMBIQUE	|	1998	|	1022535.7868	|
|	MOZAMBIQUE	|	1997	|	2149052.2235	|
|	MOZAMBIQUE	|	1996	|	1876959.9945	|
|	MOZAMBIQUE	|	1995	|	1619204.2859000002	|
|	MOZAMBIQUE	|	1994	|	1832002.7981	|
|	MOZAMBIQUE	|	1993	|	2200084.288099999	|
|	MOZAMBIQUE	|	1992	|	1936344.6471000002	|
|	PERU	|	1998	|	1029023.5026000001	|
|	PERU	|	1997	|	1509735.6598	|
|	PERU	|	1996	|	1978838.4370000002	|
|	PERU	|	1995	|	1924957.2523000003	|
|	PERU	|	1994	|	1989690.5287999997	|
|	PERU	|	1993	|	2312574.4561	|
|	PERU	|	1992	|	2630878.4663999993	|
|	ROMANIA	|	1998	|	1427162.1388000003	|
|	ROMANIA	|	1997	|	2014797.1920000005	|
|	ROMANIA	|	1996	|	2150588.3038000003	|
|	ROMANIA	|	1995	|	2446914.942	|
|	ROMANIA	|	1994	|	1755042.1502	|
|	ROMANIA	|	1993	|	1926814.8998999998	|
|	ROMANIA	|	1992	|	1866478.2217000003	|
|	RUSSIA	|	1998	|	930884.3112999998	|
|	RUSSIA	|	1997	|	1952900.4854	|
|	RUSSIA	|	1996	|	2292999.0727000004	|
|	RUSSIA	|	1995	|	2122479.7515000002	|
|	RUSSIA	|	1994	|	1978457.3267	|
|	RUSSIA	|	1993	|	1919350.2040999995	|
|	RUSSIA	|	1992	|	2325218.7393000005	|
|	SAUDI	ARABIA	|	1998	|	957702.8898	|
|	SAUDI	ARABIA	|	1997	|	2199419.0279	|
|	SAUDI	ARABIA	|	1996	|	2042769.689699999	|
|	SAUDI	ARABIA	|	1995	|	2032623.1414000005	|
|	SAUDI	ARABIA	|	1994	|	1892552.9335999992	|
|	SAUDI	ARABIA	|	1993	|	2207807.7754	|
|	SAUDI	ARABIA	|	1992	|	2139695.6533	|
|	UNITED	KINGDOM	|	1998	|	1189353.2103999997	|
|	UNITED	KINGDOM	|	1997	|	1560225.6655999997	|
|	UNITED	KINGDOM	|	1996	|	1848644.1182000001	|
|	UNITED	KINGDOM	|	1995	|	1812055.7752000005	|
|	UNITED	KINGDOM	|	1994	|	1779172.7477000002	|
|	UNITED	KINGDOM	|	1993	|	1676274.4752999996	|
|	UNITED	KINGDOM	|	1992	|	1965865.5395	|
|	UNITED	STATES	|	1998	|	965299.4532000001	|
|	UNITED	STATES	|	1997	|	1689877.7937999996	|
|	UNITED	STATES	|	1996	|	1850650.7163999996	|
|	UNITED	STATES	|	1995	|	1958713.4281000001	|
|	UNITED	STATES	|	1994	|	1825654.3608000004	|
|	UNITED	STATES	|	1993	|	2137457.2847999996	|
|	UNITED	STATES	|	1992	|	2067504.4361	|
|	VIETNAM	|	1998	|	1186557.8626	|
|	VIETNAM	|	1997	|	1769308.3338000001	|
|	VIETNAM	|	1996	|	2592135.5235	|
|	VIETNAM	|	1995	|	1796453.1386	|
|	VIETNAM	|	1994	|	2077723.0937999997	|
|	VIETNAM	|	1993	|	1863437.3562999994	|
|	VIETNAM	|	1992	|	1723593.6115	|
+----------------+--------+--------------------+
